Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Section (product.metafields.custom.custom_section),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Bag strap type (product.metafields.shopify.bag-strap-type),Carry options (product.metafields.shopify.carry-options),Clothing accessory material (product.metafields.shopify.clothing-accessory-material),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Recommended age group (product.metafields.shopify.recommended-age-group),Target gender (product.metafields.shopify.target-gender),Toy/Game material (product.metafields.shopify.toy-game-material),Wallet features (product.metafields.shopify.wallet-features),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
espresso-whisper-rattan-envelope-shoulder-bag-1,Espresso Yourself – Rattan Envelope Shoulder Bag,"<p data-end=""169"" data-start=""0""><strong data-end=""22"" data-start=""0"">Why you’ll like it</strong><br data-end=""25"" data-start=""22"">Lightweight, structured rattan crossbody that works for everyday wear and warm-weather outings. Compact but sturdy, with a clean, timeless look.</p>
<p data-end=""353"" data-start=""171""><strong data-end=""180"" data-start=""171"">Specs</strong><br data-end=""183"" data-start=""180"">Material: Handwoven straw rattan<br data-end=""218"" data-start=""215"">Closure: Butterfly buckle<br data-end=""246"" data-start=""243"">Strap: Single shoulder strap<br data-end=""277"" data-start=""274"">Interior: No interior compartments<br data-end=""314"" data-start=""311"">Hardness: Firm<br data-end=""331"" data-start=""328"">Size: 20 × 8.5 × 16 cm</p>
<p data-end=""461"" data-start=""355""><strong data-end=""370"" data-start=""355"">Style Notes</strong><br data-end=""373"" data-start=""370"">Pairs easily with casual outfits, dresses, and vacation looks. Best for essentials only.</p>
<p data-is-only-node="""" data-is-last-node="""" data-end=""571"" data-start=""463""><strong data-end=""471"" data-start=""463"">Care</strong><br data-end=""474"" data-start=""471"">Keep dry. Avoid prolonged moisture and direct sunlight. Wipe gently with a dry cloth when needed.</p>
<p> </p>
<p><b>Product Image:</b> <br><img src=""https://oss-cf.cjdropshipping.com/product/2025/12/20/03/87872a47-7923-4068-9ab9-37129646f3a2.jpg""> <img src=""https://oss-cf.cjdropshipping.com/product/2025/12/20/03/32ad3363-f0d6-4f6d-a6c5-8872b31b1bc0.jpg""> <img src=""https://oss-cf.cjdropshipping.com/product/2025/12/20/03/a5a67e8d-feab-494d-80c6-7de595b0e638_trans.jpeg""> <img src=""https://oss-cf.cjdropshipping.com/product/2025/12/20/03/0398c511-8c8b-4144-856d-590f0526272f.jpg""> <img src=""https://oss-cf.cjdropshipping.com/product/2025/12/20/03/ef28de9d-654b-48b0-835b-f93de2821205.jpg""></p>",La Carriva,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Cross Body Bags",Beach Bag,"",true,Size,20x8.5x16cm,,,,,,,,CJNS266289801AZ,520.0,shopify,deny,manual,52.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/Gemini_Generated_Image_xs8w3pxs8w3pxs8w.jpg?v=1766221251,1,"",false,,,,,,adults,lightweight,,single-compartment,,shoulder-strap; crossbody-strap,,beige; brown; floral,,,,female,,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/bb178975-e9d4-44bc-b558-e61cf2c98979.jpg?v=1766221251,g,,35.00,active
espresso-whisper-rattan-envelope-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/8c659821-1cd4-4357-a2e4-06f120b33709.jpg?v=1766221251,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espresso-whisper-rattan-envelope-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/Gemini_Generated_Image_8emzx58emzx58emz_fda2e0d7-e5e0-4eb0-be0b-996438462040.png?v=1766221251,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espresso-whisper-rattan-envelope-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/Gemini_Generated_Image_eg3jq3eg3jq3eg3j_ba195d82-1aa6-40bc-9a15-41bfb2754829.png?v=1766221251,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espresso-whisper-rattan-envelope-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/Gemini_Generated_Image_hqvefghqvefghqve_4e290781-94e2-43cb-a088-0e319619a4ef.png?v=1766221251,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espresso-whisper-rattan-envelope-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/Gemini_Generated_Image_vj317yvj317yvj31_606c9918-d28c-4c3b-9106-1f7d8a3325eb.jpg?v=1766221251,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espresso-whisper-rattan-envelope-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/e44925df-870e-43dd-bbd1-33554eb38d85.jpg?v=1766221251,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espresso-whisper-rattan-envelope-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/2f8581de-6320-42e3-a767-67a1fad09503.jpg?v=1766221251,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espresso-whisper-rattan-envelope-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/bb178975-e9d4-44bc-b558-e61cf2c98979.jpg?v=1766221251,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espresso-whisper-rattan-envelope-shoulder-bag-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/2688/7502/files/Gemini_Generated_Image_p57hnsp57hnsp57h_24b41ae3-e43b-43ed-a2cc-bb6fcd1cdc0b.png?v=1766221245,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
